cloud_id,slice_id,area,perimeter,source_file,size_bin
1125,-1,26985,4172,lattice_112_20250502_192746.csv,"[22151, 43129)"
299,-1,34273,5184,lattice_135_20250502_200742.csv,"[22151, 43129)"
76,-1,25202,3982,lattice_27_20250502_143347.csv,"[22151, 43129)"
429,-1,30241,4020,lattice_59_20250502_163644.csv,"[22151, 43129)"
711,-1,32299,5406,lattice_30_20250502_143334.csv,"[22151, 43129)"
147,-1,39525,5598,lattice_98_20250502_185651.csv,"[22151, 43129)"
1494,-1,24933,3110,lattice_30_20250502_143334.csv,"[22151, 43129)"
199,-1,41551,7012,lattice_98_20250502_185651.csv,"[22151, 43129)"
1245,-1,34786,3740,lattice_62_20250502_164242.csv,"[22151, 43129)"
1142,-1,30677,5208,lattice_41_20250502_153356.csv,"[22151, 43129)"
872,-1,25472,3730,lattice_192_20250502_221856.csv,"[22151, 43129)"
503,-1,24027,4750,lattice_187_20250502_220310.csv,"[22151, 43129)"
166,-1,24993,5140,lattice_31_20250502_143526.csv,"[22151, 43129)"
1273,-1,27949,4268,lattice_106_20250502_190144.csv,"[22151, 43129)"
1049,-1,32858,6140,lattice_197_20250502_222330.csv,"[22151, 43129)"
350,-1,36296,6460,lattice_163_20250502_210653.csv,"[22151, 43129)"
476,-1,24323,4776,lattice_28_20250502_143442.csv,"[22151, 43129)"
969,-1,25582,4722,lattice_173_20250502_211022.csv,"[22151, 43129)"
796,-1,25793,4596,lattice_186_20250502_220359.csv,"[22151, 43129)"
1359,-1,41525,5676,lattice_43_20250502_153533.csv,"[22151, 43129)"
1116,-1,25034,3608,lattice_33_20250502_152721.csv,"[22151, 43129)"
706,-1,65514,7264,lattice_59_20250502_163644.csv,"[43129, 83974)"
84,-1,48928,5688,lattice_30_20250502_143334.csv,"[43129, 83974)"
408,-1,43875,5402,lattice_127_20250502_193814.csv,"[43129, 83974)"
389,-1,68622,7932,lattice_74_20250502_173814.csv,"[43129, 83974)"
1466,-1,49082,8806,lattice_134_20250502_200822.csv,"[43129, 83974)"
965,-1,47729,4014,lattice_63_20250502_164106.csv,"[43129, 83974)"
682,-1,71570,8322,lattice_47_20250502_153629.csv,"[43129, 83974)"
