size_bin,slice_id,D_est
"[3001, 5970)",0,1.4073617542032695
"[3001, 5970)",1,1.3440566779809104
"[3001, 5970)",2,1.3086181264126144
"[3001, 5970)",3,1.289659467976299
"[3001, 5970)",4,1.2807562314085785
"[3001, 5970)",5,1.2782584987456584
"[3001, 5970)",6,1.2756716872226426
"[3001, 5970)",7,1.271183067756854
"[3001, 5970)",8,1.2681171392596264
"[3001, 5970)",9,1.2676888428342328
"[3001, 5970)",10,1.2702422304619587
"[3001, 5970)",11,1.2748254126909242
"[3001, 5970)",12,1.2794252504991661
"[3001, 5970)",13,1.2859907517287996
"[3001, 5970)",14,1.2909521119224594
"[3001, 5970)",15,1.2945987256503104
"[3001, 5970)",16,1.2981578359356702
"[3001, 5970)",17,1.3003837224521562
"[3001, 5970)",18,1.3031559196052063
"[3001, 5970)",19,1.3040841128044187
"[3001, 5970)",20,1.3040931204737198
"[3001, 5970)",21,1.3049137714837566
"[3001, 5970)",22,1.306042747107277
"[3001, 5970)",23,1.3078296103478784
"[3001, 5970)",24,1.3095187881427608
"[3001, 5970)",25,1.311105533893243
"[3001, 5970)",26,1.3133847100745604
"[3001, 5970)",27,1.3155792669553337
"[3001, 5970)",28,1.3184564681106743
"[3001, 5970)",29,1.320370338298763
"[370440, 737051)",0,1.4093418521787797
"[370440, 737051)",1,1.3418889793888946
"[370440, 737051)",2,1.3186828474675862
"[370440, 737051)",3,1.3058471417743747
"[370440, 737051)",4,1.2955421632747819
"[370440, 737051)",5,1.2906139377770238
"[370440, 737051)",6,1.2896057065508661
"[370440, 737051)",7,1.2913916838467863
"[370440, 737051)",8,1.2927121456446486
"[370440, 737051)",9,1.2940762110079622
"[370440, 737051)",10,1.298063455766438
"[370440, 737051)",11,1.301507874538586
"[370440, 737051)",12,1.3043012641315086
"[370440, 737051)",13,1.3076409298085383
"[370440, 737051)",14,1.3105255482310687
"[370440, 737051)",15,1.3135322397019298
"[370440, 737051)",16,1.314693074870904
"[370440, 737051)",17,1.3166552145853798
"[370440, 737051)",18,1.319710184446302
"[370440, 737051)",19,1.3215206990562465
"[370440, 737051)",20,1.321511902901511
"[370440, 737051)",21,1.3219607238585565
"[370440, 737051)",22,1.3225056916820805
"[370440, 737051)",23,1.323163289254011
"[370440, 737051)",24,1.3240559023768654
"[370440, 737051)",25,1.3249097059193695
"[370440, 737051)",26,1.3263968022472596
"[370440, 737051)",27,1.3286317354932358
"[370440, 737051)",28,1.331002250172549
"[370440, 737051)",29,1.3327545229157547
"[47030, 93575)",0,1.4115723052908151
"[47030, 93575)",1,1.3475245362843011
"[47030, 93575)",2,1.3214884679208558
"[47030, 93575)",3,1.2981840993808165
"[47030, 93575)",4,1.2785154945147896
"[47030, 93575)",5,1.2703297249769623
"[47030, 93575)",6,1.2644396546132781
"[47030, 93575)",7,1.2599786747474608
"[47030, 93575)",8,1.2614520978703196
"[47030, 93575)",9,1.26638140062437
"[47030, 93575)",10,1.2711059644737752
