run,n_clouds,slope_real,slope_mirror,D_real,D_mirror,R2_real,R2_mirror,delta_D,delta_slope,delta_R2
20,185,0.6889192002237053,0.689618697751609,1.3778384004474107,1.379237395503218,0.926034199382702,0.9599348835563143,-0.0013989950558073172,-0.0006994975279036586,-0.03390068417361225
21,226,0.6660295711707177,0.6961325169981952,1.3320591423414354,1.3922650339963905,0.9096649936659341,0.9580690263530361,-0.060205891654955046,-0.030102945827477523,-0.04840403268710203
22,211,0.6627701738546468,0.7009225690551372,1.3255403477092935,1.4018451381102743,0.9148853085781035,0.9687976434353258,-0.07630479040098082,-0.03815239520049041,-0.053912334857222355
23,194,0.67851303624009,0.6912867925249211,1.35702607248018,1.3825735850498422,0.9090086451622137,0.965565037684017,-0.025547512569662256,-0.012773756284831128,-0.056556392521803334
24,199,0.674088063819161,0.6861516937326304,1.348176127638322,1.3723033874652608,0.9073781009617946,0.9657312603338168,-0.024127259826938863,-0.012063629913469431,-0.058353159372022234
25,180,0.6505792336377015,0.6882229681223881,1.301158467275403,1.3764459362447763,0.926920706581437,0.96501989971283,-0.07528746896937322,-0.03764373448468661,-0.03809919313139298
26,205,0.6657259025172314,0.6926599421580006,1.3314518050344628,1.3853198843160013,0.9186855358900491,0.964799617773961,-0.05386807928153847,-0.026934039640769236,-0.04611408188391186
27,201,0.6801843117180227,0.6900592920445661,1.3603686234360455,1.3801185840891321,0.9235751331115861,0.9659516366826375,-0.01974996065308665,-0.009874980326543326,-0.04237650357105138
28,209,0.6568637732441758,0.6808803997744342,1.3137275464883515,1.3617607995488683,0.9058573878610089,0.9635747743409634,-0.048033253060516756,-0.024016626530258378,-0.0577173864799545
29,191,0.6929733801098273,0.6941815191622714,1.3859467602196547,1.3883630383245429,0.9308898469889578,0.9740630875403506,-0.002416278104888203,-0.0012081390524441016,-0.04317324055139282
30,189,0.6677088461024732,0.6967222573687509,1.3354176922049463,1.3934445147375019,0.9247009906366513,0.977159348757124,-0.05802682253255553,-0.029013411266277767,-0.052458358120472615
31,192,0.6460107830050864,0.6920052384234652,1.2920215660101728,1.3840104768469303,0.9322078097482807,0.9636570434441739,-0.09198891083675753,-0.045994455418378766,-0.03144923369589325
32,190,0.6673835536261141,0.6996774227502726,1.3347671072522282,1.3993548455005451,0.9343417753803428,0.9724414465246081,-0.06458773824831687,-0.032293869124158436,-0.03809967114426527
33,141,0.6587482731461514,0.6847216563618124,1.3174965462923027,1.3694433127236247,0.9502710514864715,0.9612693254823688,-0.05194676643132201,-0.025973383215661006,-0.010998273995897256
34,179,0.6541877167950622,0.6947199862786605,1.3083754335901243,1.389439972557321,0.9271967528734345,0.9734185773392976,-0.08106453896719668,-0.04053226948359834,-0.04622182446586309
35,214,0.6647813654375584,0.7019725904237444,1.3295627308751168,1.4039451808474888,0.9118740000943155,0.9732710797028844,-0.07438244997237198,-0.03719122498618599,-0.06139707960856888
36,209,0.6583004477049393,0.6998195569733172,1.3166008954098787,1.3996391139466344,0.9201679002112797,0.969653991887559,-0.08303821853675575,-0.041519109268377874,-0.049486091676279265
37,185,0.6624537090915548,0.6706221207731092,1.3249074181831095,1.3412442415462185,0.9170347696491411,0.9657472992347531,-0.016336823363108932,-0.008168411681554466,-0.04871252958561201
38,202,0.6501965360671154,0.6703535004409772,1.3003930721342307,1.3407070008819544,0.9158079113243293,0.9657034754837137,-0.04031392874772366,-0.02015696437386183,-0.04989556415938445
