bucket,slice_frac,D_true,D_mirror,delta_D
1000-5000,0.0959904904904905,1.328431526583791,1.3248376218618665,-0.0035939047219244458
1000-5000,0.0969903903903904,1.328431526583791,1.3242723180583593,-0.0041592085254316125
1000-5000,0.09799029029029029,1.328431526583791,1.3226041755477382,-0.005827351036052697
1000-5000,0.09899019019019019,1.328431526583791,1.3241044616694735,-0.004327064914317447
1000-5000,0.09999009009009009,1.328431526583791,1.3239633476064143,-0.004468178977376613
1000-5000,0.10098998998999,1.328431526583791,1.3248670694593525,-0.003564457124438425
1000-5000,0.10198988988988988,1.328431526583791,1.3237696249339164,-0.004661901649874567
1000-5000,0.10298978978978979,1.328431526583791,1.3245185839723748,-0.00391294261141617
1000-5000,0.10398968968968969,1.328431526583791,1.323578407270239,-0.0048531193135519235
1000-5000,0.1049895895895896,1.328431526583791,1.3235204459057244,-0.0049110806780665595
1000-5000,0.10598948948948948,1.328431526583791,1.323558648745662,-0.004872877838128842
1000-5000,0.10698938938938939,1.328431526583791,1.323164825804604,-0.005266700779186895
1000-5000,0.10798928928928929,1.328431526583791,1.3227610084719914,-0.005670518111799527
1000-5000,0.10898918918918919,1.328431526583791,1.3234924930824068,-0.004939033501384138
1000-5000,0.10998908908908908,1.328431526583791,1.3232062881857178,-0.005225238398073095
1000-5000,0.11098898898898898,1.328431526583791,1.322555763336573,-0.005875763247217947
1000-5000,0.11198888888888889,1.328431526583791,1.3241497275795602,-0.004281799004230757
1000-5000,0.11298878878878879,1.328431526583791,1.3224992452420177,-0.00593228134177326
1000-5000,0.1139886886886887,1.328431526583791,1.3230774508037308,-0.005354075780060086
1000-5000,0.11498858858858858,1.328431526583791,1.322839788101743,-0.005591738482047859
1000-5000,0.11598848848848849,1.328431526583791,1.3232636857147364,-0.00516784086905453
1000-5000,0.11698838838838839,1.328431526583791,1.3233882773881438,-0.005043249195647137
1000-5000,0.11798828828828829,1.328431526583791,1.3248935789706715,-0.00353794761311943
1000-5000,0.11898818818818818,1.328431526583791,1.3238016222102686,-0.004629904373522287
1000-5000,0.11998808808808809,1.328431526583791,1.323262229870297,-0.005169296713493976
1000-5000,0.12098798798798799,1.328431526583791,1.3234172269127507,-0.005014299671040279
1000-5000,0.12198788788788789,1.328431526583791,1.3222549841192872,-0.00617654246450372
1000-5000,0.12298778778778778,1.328431526583791,1.3236964487454352,-0.004735077838355695
1000-5000,0.12398768768768768,1.328431526583791,1.3219756585269526,-0.006455868056838288
1000-5000,0.12498758758758759,1.328431526583791,1.321783357440363,-0.006648169143427918
1000-5000,0.12598748748748748,1.328431526583791,1.3228362591787666,-0.005595267405024362
1000-5000,0.12698738738738738,1.328431526583791,1.322345782767642,-0.006085743816149014
1000-5000,0.12798728728728728,1.328431526583791,1.322559540130474,-0.005871986453316991
1000-5000,0.12898718718718719,1.328431526583791,1.3225461059313515,-0.005885420652439466
1000-5000,0.1299870870870871,1.328431526583791,1.3216578651376474,-0.006773661446143553
1000-5000,0.130986986986987,1.328431526583791,1.322328140741667,-0.006103385842123998
1000-5000,0.1319868868868869,1.328431526583791,1.3214881167383854,-0.006943409845405535
1000-5000,0.1329867867867868,1.328431526583791,1.321671165592103,-0.006760360991687975
1000-5000,0.13398668668668667,1.328431526583791,1.321809530295566,-0.006621996288225018
1000-5000,0.13498658658658658,1.328431526583791,1.320662635871615,-0.007768890712176013
1000-5000,0.13598648648648648,1.328431526583791,1.3201923986849275,-0.008239127898863385
1000-5000,0.13698638638638638,1.328431526583791,1.3202791836530556,-0.008152342930735301
1000-5000,0.13798628628628629,1.328431526583791,1.3206821369722272,-0.007749389611563684
1000-5000,0.1389861861861862,1.328431526583791,1.3210125689150058,-0.007418957668785087
1000-5000,0.1399860860860861,1.328431526583791,1.3198514606908778,-0.008580065892913158
1000-5000,0.140985985985986,1.328431526583791,1.3218194360837148,-0.006612090500076162
1000-5000,0.14198588588588587,1.328431526583791,1.3204888735917655,-0.007942652992025456
1000-5000,0.14298578578578577,1.328431526583791,1.3229655146272523,-0.005466011956538619
1000-5000,0.14398568568568568,1.328431526583791,1.3229263195643577,-0.005505207019433245
1000-5000,0.14498558558558558,1.328431526583791,1.3207288774348893,-0.007702649148901619
1000-5000,0.14598548548548548,1.328431526583791,1.3214792195142404,-0.006952307069550523
1000-5000,0.1469853853853854,1.328431526583791,1.3200677811198325,-0.00836374546395846
1000-5000,0.1479852852852853,1.328431526583791,1.320261599926563,-0.008169926657227933
1000-5000,0.1489851851851852,1.328431526583791,1.320821387798664,-0.007610138785126841
1000-5000,0.1499850850850851,1.328431526583791,1.320062676783975,-0.008368849799816003
1000-5000,0.15098498498498497,1.328431526583791,1.320896781584941,-0.007534744998849874
1000-5000,0.15198488488488487,1.328431526583791,1.3199424192129967,-0.008489107370794224
1000-5000,0.15298478478478478,1.328431526583791,1.3215305198357572,-0.006901006748033733
1000-5000,0.15398468468468468,1.328431526583791,1.3224137524899409,-0.00601777409385007
