cloud_id,area,D_true,slice_frac,D_mirror,delta_D,R2_true,R2_mirror,area_mirror,perim_mirror
18,1599,,0.7722222222222221,,,0.0,0.0,430,250
18,1599,,0.7821212121212121,,,0.0,0.0,408,238
18,1599,,0.792020202020202,,,0.0,0.0,378,228
18,1599,,0.8019191919191919,,,0.0,0.0,350,216
18,1599,,0.8118181818181818,,,0.0,0.0,322,206
18,1599,,0.8217171717171717,,,0.0,0.0,322,206
18,1599,,0.8316161616161616,,,0.0,0.0,292,192
18,1599,,0.8415151515151514,,,0.0,0.0,268,180
18,1599,,0.8514141414141414,,,0.0,0.0,244,172
18,1599,,0.8613131313131313,,,0.0,0.0,220,156
18,1599,,0.8712121212121212,,,0.0,0.0,188,144
18,1599,,0.8811111111111111,,,0.0,0.0,160,136
18,1599,,0.891010101010101,,,0.0,0.0,136,128
18,1599,,0.9009090909090909,,,0.0,0.0,116,112
18,1599,,0.9108080808080807,,,0.0,0.0,116,112
18,1599,,0.9207070707070707,,,0.0,0.0,100,106
18,1599,,0.9306060606060605,,,0.0,0.0,86,90
18,1599,,0.9405050505050505,,,0.0,0.0,72,74
18,1599,,0.9504040404040404,,,0.0,0.0,62,60
18,1599,,0.9603030303030302,,,0.0,0.0,54,40
18,1599,,0.9702020202020202,,,0.0,0.0,34,30
18,1599,,0.98010101010101,,,0.0,0.0,16,18
19,1524,,0.049595959595959596,,,0.0,0.0,3036,1398
19,1524,,0.059494949494949496,,,0.0,0.0,3036,1398
19,1524,,0.06939393939393938,,,0.0,0.0,3022,1368
19,1524,,0.07929292929292929,,,0.0,0.0,3022,1368
19,1524,,0.08919191919191918,,,0.0,0.0,2994,1338
19,1524,,0.09909090909090908,,,0.0,0.0,2994,1338
19,1524,,0.10898989898989898,,,0.0,0.0,2952,1318
19,1524,,0.11888888888888888,,,0.0,0.0,2952,1318
19,1524,,0.12878787878787878,,,0.0,0.0,2906,1286
19,1524,,0.1386868686868687,,,0.0,0.0,2906,1286
19,1524,,0.1485858585858586,,,0.0,0.0,2852,1254
19,1524,,0.15848484848484848,,,0.0,0.0,2852,1254
19,1524,,0.16838383838383839,,,0.0,0.0,2798,1228
19,1524,,0.1782828282828283,,,0.0,0.0,2798,1228
19,1524,,0.18818181818181817,,,0.0,0.0,2746,1214
19,1524,,0.19808080808080808,,,0.0,0.0,2746,1214
19,1524,,0.207979797979798,,,0.0,0.0,2688,1196
19,1524,,0.21787878787878787,,,0.0,0.0,2688,1196
19,1524,,0.22777777777777777,,,0.0,0.0,2628,1176
19,1524,,0.23767676767676768,,,0.0,0.0,2628,1176
19,1524,,0.24757575757575756,,,0.0,0.0,2560,1160
19,1524,,0.25747474747474747,,,0.0,0.0,2560,1160
19,1524,,0.2673737373737374,,,0.0,0.0,2488,1146
19,1524,,0.2772727272727273,,,0.0,0.0,2488,1146
19,1524,,0.2871717171717172,,,0.0,0.0,2418,1126
19,1524,,0.29707070707070704,,,0.0,0.0,2418,1126
19,1524,,0.30696969696969695,,,0.0,0.0,2348,1112
19,1524,,0.31686868686868686,,,0.0,0.0,2348,1112
19,1524,,0.32676767676767676,,,0.0,0.0,2276,1078
19,1524,,0.33666666666666667,,,0.0,0.0,2276,1078
19,1524,,0.3465656565656566,,,0.0,0.0,2198,1052
19,1524,,0.3564646464646465,,,0.0,0.0,2198,1052
19,1524,,0.36636363636363634,,,0.0,0.0,2118,1018
19,1524,,0.37626262626262624,,,0.0,0.0,2118,1018
19,1524,,0.38616161616161615,,,0.0,0.0,2028,972
19,1524,,0.39606060606060606,,,0.0,0.0,2028,972
19,1524,,0.40595959595959596,,,0.0,0.0,1928,924
19,1524,,0.41585858585858587,,,0.0,0.0,1928,924
19,1524,,0.4257575757575757,,,0.0,0.0,1832,868
19,1524,,0.43565656565656563,,,0.0,0.0,1832,868
19,1524,,0.44555555555555554,,,0.0,0.0,1732,808
19,1524,,0.45545454545454545,,,0.0,0.0,1732,808
19,1524,,0.46535353535353535,,,0.0,0.0,1636,748
19,1524,,0.47525252525252526,,,0.0,0.0,1636,748
19,1524,,0.4851515151515151,,,0.0,0.0,1540,698
19,1524,,0.495050505050505,,,0.0,0.0,1540,698
19,1524,,0.5049494949494949,,,0.0,0.0,1446,648
19,1524,,0.5148484848484849,,,0.0,0.0,1446,648
19,1524,,0.5247474747474747,,,0.0,0.0,1362,622
19,1524,,0.5346464646464646,,,0.0,0.0,1362,622
19,1524,,0.5445454545454546,,,0.0,0.0,1280,578
19,1524,,0.5544444444444444,,,0.0,0.0,1280,578
19,1524,,0.5643434343434344,,,0.0,0.0,1218,538
19,1524,,0.5742424242424242,,,0.0,0.0,1218,538
19,1524,,0.5841414141414141,,,0.0,0.0,1156,498
19,1524,,0.594040404040404,,,0.0,0.0,1156,498
19,1524,,0.6039393939393939,,,0.0,0.0,1078,466
19,1524,,0.6138383838383838,,,0.0,0.0,1078,466
19,1524,,0.6237373737373737,,,0.0,0.0,1000,434
19,1524,,0.6336363636363637,,,0.0,0.0,1000,434
19,1524,,0.6435353535353535,,,0.0,0.0,922,408
19,1524,,0.6534343434343434,,,0.0,0.0,922,408
19,1524,,0.6633333333333333,,,0.0,0.0,854,394
19,1524,,0.6732323232323232,,,0.0,0.0,854,394
19,1524,,0.6831313131313131,,,0.0,0.0,780,376
19,1524,,0.693030303030303,,,0.0,0.0,780,376
19,1524,,0.702929292929293,,,0.0,0.0,708,360
19,1524,,0.7128282828282828,,,0.0,0.0,708,360
19,1524,,0.7227272727272727,,,0.0,0.0,628,344
19,1524,,0.7326262626262626,,,0.0,0.0,628,344
19,1524,,0.7425252525252525,,,0.0,0.0,548,324
19,1524,,0.7524242424242424,,,0.0,0.0,548,324
19,1524,,0.7623232323232323,,,0.0,0.0,468,306
19,1524,,0.7722222222222221,,,0.0,0.0,468,306
19,1524,,0.7821212121212121,,,0.0,0.0,382,278
19,1524,,0.792020202020202,,,0.0,0.0,382,278
19,1524,,0.8019191919191919,,,0.0,0.0,304,256
19,1524,,0.8118181818181818,,,0.0,0.0,304,256
19,1524,,0.8217171717171717,,,0.0,0.0,220,226
19,1524,,0.8316161616161616,,,0.0,0.0,220,226
19,1524,,0.8415151515151514,,,0.0,0.0,150,178
19,1524,,0.8514141414141414,,,0.0,0.0,150,178
19,1524,,0.8613131313131313,,,0.0,0.0,104,136
19,1524,,0.8712121212121212,,,0.0,0.0,104,136
19,1524,,0.8811111111111111,,,0.0,0.0,72,112
19,1524,,0.891010101010101,,,0.0,0.0,72,112
19,1524,,0.9009090909090909,,,0.0,0.0,48,88
19,1524,,0.9108080808080807,,,0.0,0.0,48,88
19,1524,,0.9207070707070707,,,0.0,0.0,28,58
19,1524,,0.9306060606060605,,,0.0,0.0,28,58
19,1524,,0.9405050505050505,,,0.0,0.0,18,38
19,1524,,0.9504040404040404,,,0.0,0.0,18,38
19,1524,,0.9603030303030302,,,0.0,0.0,12,18
19,1524,,0.9702020202020202,,,0.0,0.0,12,18
20,1166,,0.039696969696969696,,,0.0,0.0,2326,836
20,1166,,0.049595959595959596,,,0.0,0.0,2326,836
20,1166,,0.059494949494949496,,,0.0,0.0,2318,830
20,1166,,0.06939393939393938,,,0.0,0.0,2318,830
20,1166,,0.07929292929292929,,,0.0,0.0,2312,818
20,1166,,0.08919191919191918,,,0.0,0.0,2312,818
20,1166,,0.09909090909090908,,,0.0,0.0,2306,804
20,1166,,0.10898989898989898,,,0.0,0.0,2306,804
20,1166,,0.11888888888888888,,,0.0,0.0,2294,782
20,1166,,0.12878787878787878,,,0.0,0.0,2276,768
20,1166,,0.1386868686868687,,,0.0,0.0,2276,768
